41	1	0	0	0	145	
42	1	1	1	1	228	
43	1	0	0	0	230	
41	2	7	6	5	225	
42	2	187	183	177	255	
43	2	115	110	103	255	
44	2	9	9	9	106	
40	3	0	0	0	71	
41	3	111	105	98	251	
42	3	246	246	246	255	
43	3	190	190	190	255	
44	3	86	86	86	153	
40	4	0	0	0	98	
41	4	183	181	177	252	
42	4	246	246	246	255	
43	4	181	181	181	255	
44	4	104	104	104	93	
40	5	0	0	0	94	
41	5	190	187	182	250	
42	5	246	246	246	255	
43	5	165	165	165	254	
44	5	25	25	25	61	
40	6	0	0	0	74	
41	6	185	178	169	242	
42	6	246	246	246	255	
43	6	149	146	143	250	
41	7	167	147	117	227	
42	7	246	246	246	255	
43	7	132	128	123	252	
41	8	105	73	27	221	
42	8	246	245	244	255	
43	8	123	117	108	234	
41	9	51	31	4	230	
42	9	254	174	60	255	
43	9	118	78	21	239	
41	10	20	13	2	219	
42	10	251	158	27	255	
43	10	164	104	17	250	
44	10	0	0	0	112	
41	11	39	23	3	129	
42	11	214	135	23	255	
43	11	211	133	23	255	
44	11	0	0	0	187	
42	12	114	72	12	255	
43	12	247	156	26	255	
44	12	1	0	0	219	
42	13	11	7	1	250	
43	13	253	160	27	255	
44	13	56	35	4	249	
45	13	45	28	1	162	
42	14	93	57	8	120	
43	14	185	116	19	255	
44	14	132	81	9	255	
45	14	47	29	3	252	
43	15	94	59	9	254	
44	15	160	98	11	255	
45	15	26	16	1	254	
43	16	32	20	4	235	
44	16	157	96	11	255	
45	16	95	59	7	255	
46	16	13	7	0	132	
43	17	61	38	5	144	
44	17	141	87	10	255	
45	17	137	84	10	255	
46	17	19	12	1	233	
44	18	118	73	10	255	
45	18	155	96	11	255	
46	18	28	17	3	255	
44	19	67	42	5	254	
45	19	159	98	11	255	
46	19	66	41	5	255	
47	19	40	25	0	81	
44	20	38	24	4	254	
45	20	159	98	11	255	
46	20	116	72	8	255	
47	20	26	15	1	161	
44	21	44	28	4	250	
45	21	151	93	10	255	
46	21	142	88	10	255	
47	21	14	9	0	239	
44	22	46	28	4	243	
45	22	148	91	10	255	
46	22	159	98	11	255	
47	22	24	15	2	243	
44	23	35	22	4	239	
45	23	152	94	11	255	
46	23	159	98	11	255	
47	23	117	74	12	255	
48	23	0	0	0	108	
10	24	12	8	1	211	
11	24	5	3	1	234	
12	24	12	7	0	99	
